zipCode,medianHouseholdIncome,latitude,longitude
48001,69160,42.639195,-82.581664
48002,93948,42.935043,-82.916493
48003,90452,42.930235,-83.039992
48005,105734,42.855919,-82.912384
48006,71385,43.083019,-82.691035
48009,153401,42.544048,-83.217653
48014,66800,43.025719,-82.931553
48015,54703,42.480563,-83.027424
48017,88812,42.536689,-83.150389
48021,62325,42.46608,-82.946341
48022,96809,43.023396,-82.802404
48023,70469,42.704385,-82.658852
48025,185000,42.520357,-83.264824
48026,64354,42.537633,-82.946742
48027,90417,42.944289,-82.694041
48028,109730,42.580209,-82.61662
48030,67073,42.461926,-83.097693
48032,96875,43.133203,-82.596952
48033,61016,42.459322,-83.293205
48034,62938,42.496906,-83.290998
48035,73015,42.5566,-82.907589
48036,70071,42.597045,-82.913144
48038,78567,42.603611,-82.941283
48039,82755,42.692907,-82.546478
48040,66901,42.910313,-82.480603
48041,75677,42.937257,-82.809536
48042,126667,42.683619,-82.909486
48043,52161,42.598055,-82.881506
48044,117856,42.650226,-82.928905
48045,80366,42.587101,-82.817239
48047,94890,42.673906,-82.774086
48048,70938,42.738492,-82.798312
48049,84028,43.040497,-82.57108
48050,91136,42.787537,-82.799467
48051,90968,42.689938,-82.826099
48054,83241,42.770358,-82.528976
48059,80062,43.088752,-82.488372
48060,53018,42.983609,-82.458315
48062,82045,42.852495,-82.796471
48063,93844,42.859332,-82.683111
48064,87538,42.764617,-82.666777
48065,106053,42.845354,-83.039398
48066,62182,42.507586,-82.936582
48067,112840,42.490558,-83.137524
48069,171125,42.471516,-83.1445
48070,190150,42.481899,-83.168088
48071,69503,42.507259,-83.10337
48072,116239,42.497885,-83.185862
48073,91627,42.519181,-83.164361
48074,71047,42.950223,-82.561555
48075,65384,42.461778,-83.229942
48076,90058,42.497539,-83.230652
48079,79891,42.858849,-82.548404
48080,66986,42.465411,-82.897399
48081,82009,42.494669,-82.895039
48082,74806,42.528022,-82.887195
48083,90794,42.55701,-83.116767
48084,107098,42.560629,-83.175582
48085,146390,42.604032,-83.122111
48088,81601,42.515746,-82.982986
48089,52366,42.468075,-82.993829
48091,54230,42.46813,-83.058248
48092,73808,42.512535,-83.059507
48093,68218,42.51589,-83.016483
48094,98017,42.734556,-83.051541
48095,107393,42.778744,-83.048072
48096,117917,42.762151,-82.92047
48097,63659,43.121947,-82.827417
48098,164759,42.598433,-83.17845
48101,81655,42.259473,-83.21039
48103,116194,42.26135,-83.846458
48104,64231,42.262235,-83.716886
48105,94774,42.327634,-83.696444
48108,89355,42.221695,-83.732282
48109,14093,42.291245,-83.708195
48111,76595,42.183156,-83.489036
48114,124063,42.567939,-83.75629
48116,106763,42.505863,-83.781249
48117,78942,42.050259,-83.410188
48118,88278,42.312205,-84.0341
48120,66006,42.303127,-83.163893
48122,42185,42.278607,-83.182255
48124,81796,42.298036,-83.24761
48125,60195,42.277334,-83.264832
48126,42140,42.330326,-83.187133
48127,60742,42.335793,-83.283296
48128,101037,42.320411,-83.259969
48130,129254,42.364141,-83.90936
48131,85747,41.9668,-83.673262
48133,74388,41.782381,-83.486028
48134,92076,42.106695,-83.296148
48135,67294,42.324383,-83.341192
48137,78973,42.471975,-84.074565
48138,126582,42.131288,-83.155729
48139,47188,42.453024,-83.807909
48140,109257,41.882184,-83.580507
48141,39252,42.293945,-83.320298
48144,101410,41.752485,-83.6287
48145,83204,41.844247,-83.45997
48146,58616,42.243291,-83.181258
48150,97997,42.371604,-83.376788
48152,88288,42.424935,-83.374264
48154,104867,42.398181,-83.372359
48157,61641,41.815464,-83.437467
48158,94784,42.155701,-84.029242
48159,74519,42.024779,-83.548907
48160,103453,42.082449,-83.679766
48161,67414,41.907183,-83.472489
48162,67876,41.960425,-83.429323
48164,107827,42.131745,-83.397257
48165,106220,42.497724,-83.618198
48166,69592,41.98821,-83.292421
48167,124630,42.432426,-83.52436
48168,187589,42.405262,-83.540498
48169,109329,42.461925,-83.947382
48170,114278,42.367689,-83.534306
48173,94094,42.073679,-83.212774
48174,67056,42.236686,-83.391656
48176,114206,42.136836,-83.82925
48177,81818,41.804838,-83.58159
48178,131558,42.443769,-83.656913
48179,77095,42.035095,-83.255444
48180,61081,42.225283,-83.267691
48182,84375,41.789858,-83.583849
48183,83508,42.131459,-83.217792
48184,59171,42.274474,-83.395633
48185,60854,42.333901,-83.384209
48186,65187,42.293764,-83.370739
48187,120321,42.325573,-83.483576
48188,122781,42.286081,-83.487072
48189,87145,42.40953,-83.782954
48190,76875,42.131617,-83.603327
48191,102833,42.121147,-83.565682
48192,71987,42.210674,-83.157208
48193,74566,42.174019,-83.21085
48195,66118,42.204707,-83.205685
48197,73737,42.194034,-83.639984
48198,63326,42.275075,-83.58634
48201,24749,42.34703,-83.060048
48202,43627,42.374597,-83.077652
48203,38404,42.421228,-83.105483
48204,34468,42.365825,-83.142801
48205,38966,42.433186,-82.981311
48206,45046,42.375168,-83.107831
48207,47831,42.348974,-83.012704
48208,36194,42.348486,-83.091781
48209,43161,42.306083,-83.117655
48210,37838,42.336418,-83.128741
48211,35725,42.381755,-83.046124
48212,38186,42.41,-83.055973
48213,34003,42.3979,-82.995397
48214,33544,42.365116,-82.987644
48215,33812,42.375217,-82.954301
48216,44335,42.326385,-83.07926
48217,44447,42.277651,-83.155078
48218,41033,42.270448,-83.131536
48219,43655,42.425328,-83.251428
48220,89881,42.458051,-83.135196
48221,57878,42.427187,-83.149528
48223,44512,42.393398,-83.246136
